scientificName,Extinction.extirpation,Extirpation_State,Least_Concern_local_extirpation,yearLastSeen_Notes,Comment,Body_mass,Within_fox_prey_mass_95.7.15130g,Within_cat_prey_mass__16.3.1946g,Blamed_on_foxes,Blamed_on_cats,Record_certainty,Reference,Year_last_record,Place_last_record,Coordinates_used_for_centre_point,Coordinates_accuracy,Foxes_havent_arrived_yet,Cats_havent_arrived_yet,First_fox_record,Last_record_AFTER_fox_first_record,Last_record_MINUS_fox_first_record,First_cat_record,Last_record_AFTER_cat_first_record,Last_record_MINUS_cat_first_record,rationale,threats,population,range,Species_Status,record_id,Year_last_record_error,buffer_distance,fox_min,fox_max,fox_mean,fox_sd,cat_min,cat_max,cat_mean,cat_sd
Leporillus apicalis,Global,,,"Unknown. May have been as late as the 1970s, as a large rodent captured and released in 1970 in a cave west of the Canning Stock Route, Western Australia, may have been this species (Robinson and Burbidge 2008)",,150,1,1,1,1,Confirmed,IUCN 2023,1933,"Norman Tindale, near Mt Crombie, south of the Musgrave Ranges in north-western South Australia",Mount Crombie,Place,NA,NA,,,,,,,"The last two specimens were collected by Norman Tindale, near Mt Crombie, south of the Musgrave Ranges in north-western South Australia in July 1933. Tindale (1933) recorded the burning of the Stick-nest Rats’ nest and the capture of the fleeing inhabitants on his ‘Mann Ranges 1933’ black-and-white film (copies held by the South Australian Museum and by the University of Adelaide). There have been unconfirmed reports since, including one from 1970, and occasional reports of fresh vegetation being added to old stick-nests, but there seems little doubt that the species is Extinct.","Predation by feral cats is considered the main cause of extinction. Cats had colonized the whole of Australia by the 1890s (Abbott 2002, 2008). The arrival of Red Foxes in range may have driven remnant subpopulations to extinction; high rabbit numbers led to high fox numbers. Habitat degradation, particularly in refuges during drought, caused by introduced herbivores (mainly rabbits and sheep) before and leading into severe drought conditions may have contributed to extinction. Morton (1990) and Copley (1999) have discussed the effects of introduced herbivores on this and other extinct mammals; Tunbridge (1991) described effects of sheep at the Flinders Ranges. Predation by indigenous predators, such as Dingoes and owls, in combination with habitat degradation by introduced herbivores was probably a minor threat on its own but possibly an enhanced threat when other threats were operating.","<p>Krefft (1866) reported Lesser Stick-nest Rats ‘in great numbers … on both sides of the Murray River’, i.e., New South Wales and Victoria). Many early explorers commented on the abundance and large size of stick-nests, including in northern areas where only this species of <em>Leporillus</em> has been recorded (Copley 1999). However, by the early 20<sup>th</sup> century, explorers and naturalists reported that it was rare. Western desert Aboriginal people reported that it disappeared at least 40 to 50 years prior to the mid-1980s (Burbidge <em>et al</em>. 1988). The decline happened from east to west and from south to north (Copley 1999).</p>","<p>Collation of available records from a variety of sources (Copley 1999), including the remains of stick nests and subfossil data (e.g. Watts and Eves 1976; Baynes and Johnson 1996; summarised in Copley 1999 and Burbidge <em>et al</em>. 2009) shows that it ranged though semi-arid and arid Western Australia, South Australia, the Northern Territory, New South Wales and the far north-west of Victoria, although the distribution was probably patchy and dependent on there being suitable vegetation for food.<br/><br/>The distribution of stick-nest rats formed arcs along the south-eastern, southern and south-western boundaries of the arid zone, from western Victoria to North West Cape in Western Australia.&#160; The Lesser Stick-nest Rat occurred further inland from the arid zone boundary, reaching the MacDonnell Ranges and Uluru (Baynes and Baird 1992) and occurring in the Great Victoria and Gibson Deserts, but also extended further south-west, to Peak Charles and probably parts of the Western Australian wheatbelt (A. Baynes pers. comm.).</p>",Globally extinct,pop_44,,10000,1917.5,1917.5,1917.5,0,1885,1885,1885,0
Leporillus apicalis,Global,,,"Unknown. May have been as late as the 1970s, as a large rodent captured and released in 1970 in a cave west of the Canning Stock Route, Western Australia, may have been this species (Robinson and Burbidge 2008)",,150,1,1,1,1,Unconfirmed,IUCN 2023,1970,"Canning Stock Route, Western Australia",Little Sandy Desert,Region,NA,NA,,,,,,,"The last two specimens were collected by Norman Tindale, near Mt Crombie, south of the Musgrave Ranges in north-western South Australia in July 1933. Tindale (1933) recorded the burning of the Stick-nest Rats’ nest and the capture of the fleeing inhabitants on his ‘Mann Ranges 1933’ black-and-white film (copies held by the South Australian Museum and by the University of Adelaide). There have been unconfirmed reports since, including one from 1970, and occasional reports of fresh vegetation being added to old stick-nests, but there seems little doubt that the species is Extinct.","Predation by feral cats is considered the main cause of extinction. Cats had colonized the whole of Australia by the 1890s (Abbott 2002, 2008). The arrival of Red Foxes in range may have driven remnant subpopulations to extinction; high rabbit numbers led to high fox numbers. Habitat degradation, particularly in refuges during drought, caused by introduced herbivores (mainly rabbits and sheep) before and leading into severe drought conditions may have contributed to extinction. Morton (1990) and Copley (1999) have discussed the effects of introduced herbivores on this and other extinct mammals; Tunbridge (1991) described effects of sheep at the Flinders Ranges. Predation by indigenous predators, such as Dingoes and owls, in combination with habitat degradation by introduced herbivores was probably a minor threat on its own but possibly an enhanced threat when other threats were operating.","<p>Krefft (1866) reported Lesser Stick-nest Rats ‘in great numbers … on both sides of the Murray River’, i.e., New South Wales and Victoria). Many early explorers commented on the abundance and large size of stick-nests, including in northern areas where only this species of <em>Leporillus</em> has been recorded (Copley 1999). However, by the early 20<sup>th</sup> century, explorers and naturalists reported that it was rare. Western desert Aboriginal people reported that it disappeared at least 40 to 50 years prior to the mid-1980s (Burbidge <em>et al</em>. 1988). The decline happened from east to west and from south to north (Copley 1999).</p>","<p>Collation of available records from a variety of sources (Copley 1999), including the remains of stick nests and subfossil data (e.g. Watts and Eves 1976; Baynes and Johnson 1996; summarised in Copley 1999 and Burbidge <em>et al</em>. 2009) shows that it ranged though semi-arid and arid Western Australia, South Australia, the Northern Territory, New South Wales and the far north-west of Victoria, although the distribution was probably patchy and dependent on there being suitable vegetation for food.<br/><br/>The distribution of stick-nest rats formed arcs along the south-eastern, southern and south-western boundaries of the arid zone, from western Victoria to North West Cape in Western Australia.&#160; The Lesser Stick-nest Rat occurred further inland from the arid zone boundary, reaching the MacDonnell Ranges and Uluru (Baynes and Baird 1992) and occurring in the Great Victoria and Gibson Deserts, but also extended further south-west, to Peak Charles and probably parts of the Western Australian wheatbelt (A. Baynes pers. comm.).</p>",Globally extinct,pop_45,,1e+05,1922.5,1927.5,1924.56597222222,2.46417569092563,1885,1885,1885,0
Leporillus apicalis,State,New South Wales,,,,150,1,1,1,1,Confirmed,"Lunney, D., 2001. Causes of the extinction of native mammals of the Western Division of New South Wales: an ecological interpretation of the nineteenth century historical record. The Rangeland Journal, 23(1), pp.44-70.",1883,"Western Division, NSW",Broken Hill,Region,NA,NA,,,,,,,,,,,Globally extinct,pop_46,,1e+05,1892.5,1907.5,1903.35106382979,2.77797154693694,1875,1875,1875,0
Leporillus apicalis,State,Northern Territory,,,,150,1,1,1,1,Confirmed,"Cole, J.R. and Woinarski, J.C.Z., 2000. Rodents of the arid Northern Territory: conservation status and distribution. Wildlife Research, 27(4), pp.437-449.",1895,South Northern Territory,Alice Springs,Region,NA,NA,,,,,,,,,,,Globally extinct,pop_47,,1e+05,1912.5,1917.5,1917.37632508834,0.777268596510675,1875,1875,1875,0
Leporillus apicalis,State,Northern Territory,,,,150,1,1,1,1,Confirmed,"Seebeck, J. and Menkhorst, P., 2000. Status and conservation of the rodents of Victoria. Wildlife Research, 27(4), pp.357-369.",1857,North-west Victoria,Murray-Sunset National Park,Region,0,0,,,,,,,,,,,Globally extinct,pop_48,,1e+05,1887.5,1892.5,1891.01822503962,2.28505858076566,1845,1855,1850.21394611727,4.99938365632443
Leporillus apicalis,State,Northern Territory,,,,150,1,1,1,1,Alternative-confirmed,"Copley, P., 1999. Natural histories of Australia’s stick-nest rats, genus Leporillus (Rodentia: Muridae). Wildlife Research, 26(4), pp.513-539.",1897,"Alice Springs, NT",Alice Springs,Place,0,0,,,,,,,,,,,Globally extinct,pop_49,,10000,1917.5,1917.5,1917.5,0,1875,1875,1875,0
Leporillus apicalis,Region,Northern Territory,,,,150,1,1,1,1,Alternative-confirmed,"Copley, P., 1999. Natural histories of Australia’s stick-nest rats, genus Leporillus (Rodentia: Muridae). Wildlife Research, 26(4), pp.513-539.",1896,"Erldunda, NT","Erldunda, NT",Place,0,0,,,,,,,,,,,Globally extinct,pop_50,,10000,1912.5,1912.5,1912.5,0,1875,1875,1875,0
Leporillus apicalis,Region,Northern Territory,,,,150,1,1,1,1,Confirmed,"Copley, P., 1999. Natural histories of Australia’s stick-nest rats, genus Leporillus (Rodentia: Muridae). Wildlife Research, 26(4), pp.513-539; Seebeck, J. and Menkhorst, P., 2000. Status and conservation of the rodents of Victoria. Wildlife Research, 27(4), pp.357-369.",1857,"Euston, NSW","Euston, NSW",Place,0,0,,,,,,,,,,,Globally extinct,pop_51,,10000,1892.5,1892.5,1892.5,0,1845,1845,1845,0
Leporillus conditor,Mainland,,,"""common on the Nullarbor Plain during the 1920s... no verified records since 1930… he last saw stick-nest rats near Rawlinna (Western Australia) in 1938""",,350,1,1,1,1,Confirmed,"Copley, P., 1999. Natural histories of Australia’s stick-nest rats, genus Leporillus (Rodentia: Muridae). Wildlife Research, 26(4), pp.513-539.",1930,Nullarbor,Nullarbor,Region,NA,NA,,,,,,,,,,,Extinct from mainland,pop_52,,1e+05,1907.5,1912.5,1911.76900584795,1.76825147180594,1885,1885,1885,0
Leporillus conditor,Mainland,,,"""common on the Nullarbor Plain during the 1920s... no verified records since 1930… he last saw stick-nest rats near Rawlinna (Western Australia) in 1938""",,350,1,1,1,1,Alternative-confirmed,"Abbott, I., Peacock, D. and Short, J., 2014. The new guard: the arrival and impacts of cats and foxes. Carnivores of Australia: past, present and future, pp.69-104.",1938,Nullarbor,Nullarbor,Region,NA,NA,,,,,,,,,,,Extinct from mainland,pop_53,,1e+05,1907.5,1912.5,1911.76900584795,1.76825147180594,1885,1885,1885,0
Leporillus conditor,Region,,,"""These declines and apparent local extinctions pre-dated the arrival of the rabbit and the fox by about 20 years""",,350,1,1,1,1,Confirmed,"Copley, P., 1999. Natural histories of Australia’s stick-nest rats, genus Leporillus (Rodentia: Muridae). Wildlife Research, 26(4), pp.513-539.",1863,Murray-Darling region,Murray River Council,Region,NA,NA,,,,,,,,,,,Extinct from mainland,pop_54,less than,1e+05,1882.5,1892.5,1885.8671875,2.77443925942259,1845,1845,1845,0
Leporillus conditor,Region,,,"""It appears that the decline and possibly local extinction of stick-nest rats in the Flinders Ranges had occurred by about the 1860s or 1870s""",,350,1,1,1,1,Confirmed,"Copley, P., 1999. Natural histories of Australia’s stick-nest rats, genus Leporillus (Rodentia: Muridae). Wildlife Research, 26(4), pp.513-539.",1865,"Flinders Ranges, SA",Flinders Ranges,Region,NA,NA,,,,,,,,,,,Extinct from mainland,pop_55,+- 5 years,1e+05,1892.5,1907.5,1904.3352365416,2.91781738944363,1845,1875,1860.07340946166,10.6735345976653
Leporillus conditor,State,New South Wales,,,,350,1,1,1,1,Confirmed,"Lunney, D., 2001. Causes of the extinction of native mammals of the Western Division of New South Wales: an ecological interpretation of the nineteenth century historical record. The Rangeland Journal, 23(1), pp.44-70.",1857,"Western Division, NSW",Broken Hill,Region,NA,NA,,,,,,,,,,,Extinct from mainland,pop_56,,1e+05,1892.5,1907.5,1903.35106382979,2.77797154693694,1875,1875,1875,0
Macropus eugenii,State,South Australia (mainland),1,"""the last M. eugenii specimen from Eyre Peninsula was trapped at Pygery in 1927 soon after the establishment of the fox""",Reintroduced to Innes NP,6500,1,0,1,1,Confirmed,"Abbott, I., Peacock, D. and Short, J., 2014. The new guard: the arrival and impacts of cats and foxes. Carnivores of Australia: past, present and future, pp.69-104.",1927,"Pygery, South Australia","Pygery, South Australia",Place,NA,NA,,,,,,,,,,,Least Concern,pop_57,,10000,1902.5,1902.5,1902.5,0,1875,1875,1875,0
Macrotis lagotis,Region,"Western Division, NSW",,,,1350,1,1,1,1,Confirmed,"Lunney, D., 2001. Causes of the extinction of native mammals of the Western Division of New South Wales: an ecological interpretation of the nineteenth century historical record. The Rangeland Journal, 23(1), pp.44-70.",1898,"Western Division, NSW",Broken Hill,Region,NA,NA,,,,,,,,,,,Extant,pop_58,,1e+05,1892.5,1907.5,1903.35106382979,2.77797154693694,1875,1875,1875,0
Macrotis lagotis,Region,"Wagga Wagga, NSW",,"""the last known live specimens collected near Wagga in 1912""",,1350,1,1,1,1,Confirmed,"Navnith, M., Finlayson, G., Crowther, M. and Dickman, C., 2009. The diet of the re-introduced greater bilby Macrotis lagotis in the mallee woodlands of western New South Wales. Australian Zoologist, 35(1), pp.90-95.",1912,"Wagga Wagga, NSW","Wagga Wagga, NSW",Place,NA,NA,,,,,,,,,,,Extant,pop_59,,10000,1887.5,1887.5,1887.5,0,1825,1845,1835,10.9544511501033
Macrotis lagotis,Region,"Koonchera Dune, SA",,,,1350,1,1,1,1,Confirmed,"Vernes, K., Elliott, T.F. and Jackson, S.M., 2021. 150 years of mammal extinction and invasion at Koonchera Dune in the Lake Eyre Basin of South Australia. Biological Invasions, 23(2), pp.593-610.",1931,"Koonchera Dune, South Australia","Koonchera Dune, South Australia",Place,NA,NA,,,,,,,,,,,Extant,pop_60,,10000,1907.5,1907.5,1907.5,0,1875,1875,1875,0
Macrotis lagotis,Region,Nullarbor,,,,1350,1,1,1,1,Confirmed,"Abbott, I., Peacock, D. and Short, J., 2014. The new guard: the arrival and impacts of cats and foxes. Carnivores of Australia: past, present and future, pp.69-104.",1938,Nullarbor,Nullarbor,Region,NA,NA,,,,,,,,,,,Extant,pop_61,,1e+05,1907.5,1912.5,1911.76900584795,1.76825147180594,1885,1885,1885,0
Macrotis leucura,Global,,,1960s,,354.3,1,1,1,1,Confirmed,IUCN 2023,1931,"Koonchera Dune, South Australia","Koonchera Dune, South Australia",Place,NA,NA,,,,,,,Listed as Extinct because Western desert Aborigines reported that the Yallara died out in the 1960s (Burbidge <em>et al</em>. 1988). The last specimen was from near Koonchera Dune (Cooncherie) in north-eastern South Australia in 1931 (Johnson 2008). A skull of unknown age was found in 1967 in a nest of a Wedge-tailed Eagle <em>Aquila audax</em> south-east of Alice Springs near the edge of the Simpson Desert (Johnson 2008).,"Predation from introduced feral cats and red foxes is considered to be the major cause of extinction, probably exacerbated by changes in fire regime.","This species is extinct. Population size is unknown, but it was probably fairly abundant, especially during good seasons. <br/><br/>Aboriginal people have stated that it survived in the western deserts until c. 1960 (Burbidge <em>et al</em>. 1988) and the skull found in 1967 in a nest of a Wedge-tailed Eagle <em>Aquila audax</em> south-east of Alice Springs near the edge of the Simpson Desert found in 1967 was estimated to be &lt;15 years old.","Yallara inhabited the central deserts of Western Australia, Northern Territory, South Australia and probably the Simpson Desert in south-western Queensland",Globally extinct,pop_110,,10000,1907.5,1907.5,1907.5,0,1875,1875,1875,0
Macrotis leucura,Global,,,1960s,,354.3,1,1,1,1,Alternative-confirmed,IUCN 2023,1967,Alice Springs near the edge of the Simpson Desert,Alice Springs,Place,NA,NA,,,,,,,Listed as Extinct because Western desert Aborigines reported that the Yallara died out in the 1960s (Burbidge <em>et al</em>. 1988). The last specimen was from near Koonchera Dune (Cooncherie) in north-eastern South Australia in 1931 (Johnson 2008). A skull of unknown age was found in 1967 in a nest of a Wedge-tailed Eagle <em>Aquila audax</em> south-east of Alice Springs near the edge of the Simpson Desert (Johnson 2008).,"Predation from introduced feral cats and red foxes is considered to be the major cause of extinction, probably exacerbated by changes in fire regime.","This species is extinct. Population size is unknown, but it was probably fairly abundant, especially during good seasons. <br/><br/>Aboriginal people have stated that it survived in the western deserts until c. 1960 (Burbidge <em>et al</em>. 1988) and the skull found in 1967 in a nest of a Wedge-tailed Eagle <em>Aquila audax</em> south-east of Alice Springs near the edge of the Simpson Desert found in 1967 was estimated to be &lt;15 years old.","Yallara inhabited the central deserts of Western Australia, Northern Territory, South Australia and probably the Simpson Desert in south-western Queensland",Globally extinct,pop_111,,10000,1917.5,1917.5,1917.5,0,1875,1875,1875,0
Melomys rubicola,Global,,,2009,,100,1,1,0,0,Confirmed,IUCN 2023,2009,"Bramble Cay, Torres Strait","Bramble Cay, Torres Strait",Place,1,1,,,,,,,"Limited monitoring indicated decline since 1983 on its only known site,&#160;Bramble Cay a small coral cay in Torres Strait, Australia. Last individual was recorded in 2009. Limited searching over the period 2009 to 2013 failed to report it, but zero records in a comprehensive and adequate targeted search in 2014 demonstrated extinction (Woinarski <em>et al. </em>2014, N. Waller pers. comm. 2015).","This species was never subject to detailed study. The first substantial report on its status in 1983 considered that its population was at least several hundred individuals (Limpus <em>et al</em>. 1983). It declined either gradually or episodically subsequently, although there were few and not very robust estimates of its status. It is likely that decline occurred due directly to storm surges across the entire island (killing individuals) and/or ongoing and episodic reduction in vegetation (probably also due to storm surge) (Woinarski <em>et al.</em> 2014).","Limpus <em>et al</em>. (1983) estimated the total population size in 1978 as ‘several hundred individuals’. In 1998, the population size was estimated as about 90 individuals, based on 42 captures (Dennis and Storch 1998); subsequent trapping studies using the same methodology in 2002 and 2004 yielded only 10 and 12 individuals (Dennis 2012). The last individual was reported in 2009 (N. Waller pers. comm. 2015). Limited searches since 2009 failed to record the species; a more substantial and comprehensive search of the small island in 2014 (with&#160;150 Elliott traps and 10 baited camera traps set for six nights) was unsuccessful, and also reported that almost all vegetation had been lost from the cay&#160;(N. Waller pers. comm. 2015).","This species was endemic to Bramble Cay, a small (5 ha) coral cay in Torres Strait, Australia (Latch 2008, Dennis 2012, Woinarski <em>et al. </em>2014). It has not been located on other islands despite intensive surveys (Latch 2008). It has been hypothesised that the species or a close relative may still exist in New Guinea (Gynther <em>et al</em>. 2016). It is no longer extant.",Globally extinct,pop_112,,10000,,,,,,,,
Myrmecobius fasciatus,State,New South Wales,,,,471,1,1,1,1,Confirmed,"Lunney, D., 2001. Causes of the extinction of native mammals of the Western Division of New South Wales: an ecological interpretation of the nineteenth century historical record. The Rangeland Journal, 23(1), pp.44-70.",1900,"Western Division, NSW",Broken Hill,Region,NA,NA,,,,,,,,,,,Extant,pop_113,,1e+05,1892.5,1907.5,1903.35106382979,2.77797154693694,1875,1875,1875,0
Notamacropus greyi,Global,,,1970s,,10000,1,0,1,0,Confirmed,IUCN 2023,1924,"Konetta Station, about halfway between Robe and Penola, SA",Penola,Place,NA,NA,,,,,,,"Listed as Extinct because the last confirmed records were in 1924 (Australasian Mammal Assessment Workshop 2008). Despite extensive searching in the 1970s, no Toolache Wallabies were located and there have been no confirmed reports since (Smith and Robinson 2008). There is a report from 1943 (Flannery and Schouten 2001) and reports from the 1950s to the 1970s (Robinson and Young 1983).",Habitat loss and fragmentation was catastrophic as the whole original range is now agricultural land. The introduced red fox and hunting contributed to the extinction.,"It is extinct.   <p>The Toolache Wallaby was apparently common within a restricted range. By 1910, populations had been reduced to a number of scattered colonies in the area enclosed by Robe, Kingston and Beachport on the South Australian coast, and Naracoorte and Penola further to the east, near Mt Gambier. By 1924 only one small group was known to survive on Konetta Station, about halfway between Robe and Penola. An attempt was made to transfer some of the population to a sanctuary on Kangaroo Island, but this failed. The last known survivor died in captivity in Robe in 1939 (Flannery and Kendall 1990).</p>","The Toolache Wallaby occurred in near-coastal parts of extreme south-western Victoria (Menkhorst 1995), to the upper south-east of South Australia (Robinson and Young 1983; Smith and Robinson 2008). It is extinct.",Globally extinct,pop_114,,10000,1882.5,1887.5,1886.07142857143,2.43975018237133,1845,1845,1845,0
Notamacropus greyi,Global,,,1970s,,10000,1,0,1,0,Unconfirmed,IUCN 2023,1970,"Location not provided. ""occurred in near-coastal parts of extreme south-western Victoria, to the upper south-east of South Australia""",Ngarkat Conservation Park,Region,NA,NA,,,,,,,"Listed as Extinct because the last confirmed records were in 1924 (Australasian Mammal Assessment Workshop 2008). Despite extensive searching in the 1970s, no Toolache Wallabies were located and there have been no confirmed reports since (Smith and Robinson 2008). There is a report from 1943 (Flannery and Schouten 2001) and reports from the 1950s to the 1970s (Robinson and Young 1983).",Habitat loss and fragmentation was catastrophic as the whole original range is now agricultural land. The introduced red fox and hunting contributed to the extinction.,"It is extinct.   <p>The Toolache Wallaby was apparently common within a restricted range. By 1910, populations had been reduced to a number of scattered colonies in the area enclosed by Robe, Kingston and Beachport on the South Australian coast, and Naracoorte and Penola further to the east, near Mt Gambier. By 1924 only one small group was known to survive on Konetta Station, about halfway between Robe and Penola. An attempt was made to transfer some of the population to a sanctuary on Kangaroo Island, but this failed. The last known survivor died in captivity in Robe in 1939 (Flannery and Kendall 1990).</p>","The Toolache Wallaby occurred in near-coastal parts of extreme south-western Victoria (Menkhorst 1995), to the upper south-east of South Australia (Robinson and Young 1983; Smith and Robinson 2008). It is extinct.",Globally extinct,pop_115,,1e+05,1882.5,1892.5,1889.22386895476,2.56786779406579,1845,1855,1853.29953198128,3.75967291205182
Notomys amplus,Global,,,1896,,100,1,1,1,1,Confirmed,IUCN 2023,1896,"Charlotte Waters, NT","Charlotte Waters, NT",Place,NA,NA,,,,,,,Listed as Extinct because this species has not been recorded since 1896.,"The reasons for the loss of this species are unknown, but may be related to predation by introduced species such as foxes and feral cats.",The species is extinct.,"<p>The only known specimens came from Charlotte Waters in 1896. Subfossil data, summarised in Baynes and Jones (1993), Dixon (2008) and Burbidge <em>et al</em>. (2009), indicate that it had a wide distribution in the central and western arid zone, ranging from north-eastern South Australia and south-eastern Northern Territory to North West Cape, Western Australia.</p>",Globally extinct,pop_116,,10000,1912.5,1912.5,1912.5,0,1875,1875,1875,0
Notomys fuscus,State,New South Wales,,,,35,0,1,1,1,Confirmed,"Lunney, D., 2001. Causes of the extinction of native mammals of the Western Division of New South Wales: an ecological interpretation of the nineteenth century historical record. The Rangeland Journal, 23(1), pp.44-70.",1899,"Western Division, NSW",Broken Hill,Region,NA,NA,,,,,,,,,,,Extant,pop_117,less than,1e+05,1892.5,1907.5,1903.35106382979,2.77797154693694,1875,1875,1875,0
Notomys fuscus,State,Northern Territory,,,,35,0,1,1,1,Confirmed,"Cole, J.R. and Woinarski, J.C.Z., 2000. Rodents of the arid Northern Territory: conservation status and distribution. Wildlife Research, 27(4), pp.437-449.",1895,"Charlotte Waters, NT","Charlotte Waters, NT",Place,0,0,,,,,,,,,,,Extant,pop_118,,10000,1912.5,1912.5,1912.5,0,1875,1875,1875,0
Notomys longicaudatus,Global,,,1901-1902,,100,1,1,0,1,Confirmed,IUCN 2023,1902,"Barrow Creek, Northern Territory","Barrow Creek, Northern Territory",Place,NA,NA,,,,,,,Listed as Extinct because it has not been recorded since it was last collected in 1901-1902.,"Extinction is attributed to predation by feral cats. Extinction occurred prior to the arrival of the Red Fox in WA and parts of central Australia; feral Cats had colonised all of Australia by the 1890s (Abbott 2002, 2008) and have been implicated in the extinction of a range of larger rodents and other medium-sized mammals.","The species is extinct. Remains of the Long-tailed Hopping-mouse are moderately abundant in many owl pellet deposits (e.g. Uluru, Baynes and Baird 1992), suggesting that it was not a rare species, though not as abundant as the Spinifex Hopping-mouse<em> N. alexis</em> or Sandy Inland Mouse <em>Pseudomys hermannsburgensis</em> (A. Baynes <em>pers. comm</em>.).","<p>First collected in 1843 near the Moore River, Western Australia, about where New Norcia stands today. Other early collections were at Toodyay, Western Australia, Broken Hill, New South Wales and the Burt Plain near Alice Springs, Northern Territory (Flannery and Schouten 2001). The final specimens were from Barrow Creek, Northern Territory, in 1901-02 (Dixon 2008). Subfossil data, summarised in Baynes and Jones (1993) and Burbidge <em>et al</em>. (2009), indicate that it had a wide distribution in the arid zone, ranging from north-western New South Wales to North West Cape, Western Australia. </p>",Globally extinct,pop_119,,10000,1922.5,1922.5,1922.5,0,1875,1875,1875,0
Notomys longicaudatus,State,New South Wales,,,,100,1,1,0,1,Confirmed,"Lunney, D., 2001. Causes of the extinction of native mammals of the Western Division of New South Wales: an ecological interpretation of the nineteenth century historical record. The Rangeland Journal, 23(1), pp.44-70.",1845,"Western Division, NSW",Broken Hill,Region,NA,NA,,,,,,,,,,,Globally extinct,pop_120,,1e+05,1892.5,1907.5,1903.35106382979,2.77797154693694,1875,1875,1875,0
Notomys longicaudatus,Region,south-western Australia,,,,100,1,1,0,1,Confirmed,"Abbott I. 2001. The Bilby Macrotis lagotis (Marsupialia: Peramelidae) in south-western Australia: original range limits, subsequent decline, and presumed regional extinction. RECORDS-WESTERN AUSTRALIAN MUSEUM 20:271-306.",1840,South-west Australia,Perth,Region,NA,NA,,,,,,,,,,,Globally extinct,pop_121,,1e+05,1917.5,1932.5,1925.72580645161,3.98075974343401,1835,1845,1837.84946236559,4.51996764666316
Notomys macrotis,Global,,,1843-1844,,100,1,1,0,1,Confirmed,IUCN 2023,1844,"New Norcia, WA","New Norcia, WA",Place,NA,NA,,,,,,,"The Large-eared Hopping-mouse was last collected in July 1843 near the Moore River, Western Australia, close to where New Norcia is now situated (Mahoney 1975, Flannery and Schouten 2001, Dixon 2008), and has not been seen since (Burbidge 2004). Absence of the species from extensive subfossil collections (Burbidge <em>et al</em>. 2009) suggests that it was restricted to the western margin of the wheatbelt of Western Australia. It may have survived well beyond the date of last collection, noting the lack of scientific collecting in the range area in the 19<sup>th</sup> and early 20<sup>th</sup> Centuries.","Extinction is considered to be primarily caused by predation by feral cats. The Large-eared Hopping-mouse’s habitat, loamy valley soils with grass, was used for sheep herding at the time of extinction; this would have degraded its habitat and collapsed its burrows. Evidence for epizootic disease as the primary factor, but probably interacting with drought and predation by feral cats as secondary   factors, in decline and extinction of many mammal species in Western Australia; many of these declined before the arrival of foxes (Abbott 2006).",There is no&#160;population information available for this species.,<p>The Large-eared Hopping-mouse is known only from the western central wheatbelt of Western Australia.</p>,Globally extinct,pop_122,,10000,1922.5,1922.5,1922.5,0,1845,1845,1845,0
Notomys mitchelli,State,New South Wales,1,,,52,0,1,0,0,Confirmed,"Lunney, D., 2001. Causes of the extinction of native mammals of the Western Division of New South Wales: an ecological interpretation of the nineteenth century historical record. The Rangeland Journal, 23(1), pp.44-70.",1857,"Western Division, NSW",Broken Hill,Region,NA,NA,,,,,,,,,,,Least Concern,pop_123,,1e+05,1892.5,1907.5,1903.35106382979,2.77797154693694,1875,1875,1875,0
Notomys mordax,Global,,,1840s,,50,0,1,0,1,Confirmed,IUCN 2023,1845,"Darling Downs, QLD","Darling Downs, QLD",Place,NA,NA,,,,,,,"<em>Notomys mordax</em> is known only from a single skull, without skin, in the Natural History Museum, London, purchased from John Gould and registered in April 1846 as from Darling Downs (Mahoney 1977). It was probably collected in the 1840s (Mahoney 1977, Watts 2008).",Extinction is considered to be due primarily to predation by feral cats. Habitat destruction for agriculture and habitat degradation due to livestock may have contributed.,The species is extinct.,"<p>The collection locality of the single known specimen, probably collected in the 1840s, is given as Darling Downs in the Natural History Museum register. No hopping-mice have since been collected on the Darling Downs. Subfossil collections from the area have identified Pleistocene megafauna (Molnar and Kurtz 1997) but not yet identified small mammals (A. Baynes <em>pers. comm</em>.)</p>",Globally extinct,pop_124,+- 5 years,10000,1912.5,1912.5,1912.5,0,1845,1845,1845,0
Notomys robustus,Global,,,never recorded alive,,50,0,1,0,0,Confirmed,IUCN 2023,1800,"Flinders and Davenport Ranges, South Australia",Flinders Ranges,Region,NA,NA,,,,,,,"<p>The Broad-cheeked Hopping-mouse is known only from skulls taken from old owl roosts in the Flinders and Davenport Ranges, South Australia, and has never been collected alive.</p>",This species has never been collected alive.,The species is extinct.,"<p>The Broad-cheeked Hopping-mouse has been collected only in the Davenport and Flinders Ranges, South Australia.</p>",Globally extinct,pop_125,approximate,1e+05,1892.5,1907.5,1904.3352365416,2.91781738944363,1845,1875,1860.07340946166,10.6735345976653
Onychogalea fraenata,State,New South Wales,,,,5500,1,0,1,1,Confirmed,"Lunney, D., 2001. Causes of the extinction of native mammals of the Western Division of New South Wales: an ecological interpretation of the nineteenth century historical record. The Rangeland Journal, 23(1), pp.44-70.",1900,"Western Division, NSW",Broken Hill,Region,NA,NA,,,,,,,,,,,Extant,pop_128,approximate,1e+05,1892.5,1907.5,1903.35106382979,2.77797154693694,1875,1875,1875,0
